2026-03-09 17:09:17 | WARNING  | validator | Postava ID=423: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=433: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=433 (Doopidoo): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=434: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Postava ID=434 (Super Weird Rick): chybějící nebo nevalidní location URL
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=435: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=436: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=454: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=458: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=462: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=469: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=481: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=492: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=509: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=517: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=522: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=523: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=523: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=523: pole 'gender' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=524: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=572: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=576: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=577: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=583: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=590: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=591: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=603: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=611: pole 'species' obsahuje 'unknown' hodnotu
